"","91-04-A132","93-05-6301 SN2","93-05-6301 SP3","93-10-3403 SP3","94-03-1902 SN2","94-04-1903 SP1","94-09-2902 SP1","94-10-P003 SP1","94-11-P036","94-11-V046","95-01-P045","95-04-P093","95-05-G051 SN1","95-05-G051 SP1","95-06-P073","95-07-P004","95-08-P243","95-08-P248","95-08-P250","95-08-P271","95-08-P284","95-08-P358","95-08-P418","95-09-P067","95-09-P113","95-10-P864 SP1","95-11-P018 SP2","95-11-P306 SP1","95-12-A091","95-12-P310 SN1","96-02-P012 SP1","96-02-P046","96-02-P050 SP1","96-02-P067 SP3","96-02-P402 SP1","96-04-P009 SP5","96-04-P017 SP1","96-04-P029 SP1","96-04-P033 SP1","96-06-G032 SP1"
"SOX17",12.39666,8.42052,4.32918,4.31866,10.65104,8.07018,5.67432,7.94816,8.0338,6.35934,2.5831,9.90466,2.6029,9.85758,8.25752,7.09524,5.17274,12.2037,2.83206,5.45728,9.66656,5.0081,6.33088,10.76418,11.65344,4.71204,4.12572,8.204,6.1363,7.66326,8.20162,6.23542,11.40562,11.06006,4.0652,4.42256,8.75724,9.061,10.77684,6.85972
"T",11.74036,11.23472,6.13018,2.74666,10.98994,12.21218,6.32942,11.48586,12.0683,9.09064,8.2191,8.65656,9.1901,6.61828,8.57742,11.38754,4.60114,9.6685,11.30636,12.29538,10.68486,10.9178,5.22098,12.94328,11.98514,11.03054,3.15872,11.4401,11.4225,8.41376,6.51112,12.16532,12.63602,11.77036,10.6575,3.52386,10.55434,11.1606,11.53104,9.12812
"WT1",6.49336,4.29302,7.75768,9.23386,4.46444,14.09298,9.30002,10.21536,13.9578,9.86604,6.4247,12.01906,1.3735,9.28218,10.56532,10.24344,8.68604,12.2037,11.30636,14.14718,12.44706,13.4227,9.48098,12.94328,15.21354,13.85004,8.57592,5.0944,12.7846,3.11966,4.82532,14.09572,8.42772,12.74846,7.5164,8.32316,9.03404,8.8811,14.28924,4.87342
"DES",5.53396,1.16482,7.69658,9.15726,3.04444,4.86468,10.27602,5.02716,0.3574,2.93834,9.8935,2.14606,-0.7332,6.92548,5.71852,3.88744,9.54024,8.5836,9.36546,9.22448,7.76636,13.4227,10.08008,7.74738,7.33884,6.52904,6.15812,3.3674,3.6022,0.02746,5.70722,8.44862,5.10562,6.47816,7.0576,7.20896,4.95074,4.2395,9.16044,8.62662
"MYF5",14.35506,14.46222,13.64448,14.09546,13.88354,14.09298,14.22222,13.76316,13.9578,10.90034,6.2041,6.20436,13.1739,14.22228,12.20482,11.24324,15.48494,12.2037,8.27536,14.14718,12.44706,9.9224,14.59408,12.94328,15.21354,8.17504,14.56182,13.9933,11.618,11.94456,12.92442,9.67742,13.79582,12.74846,9.1075,13.40366,11.94804,7.7877,14.28924,11.61652
"MYOD1",11.06666,14.46222,12.76798,14.24626,13.88354,14.09298,14.22222,13.76316,13.9578,7.51504,12.0274,9.00806,13.1739,14.22228,10.84182,13.16024,15.48494,12.2037,11.30636,14.14718,11.97166,11.3309,14.59408,12.94328,15.21354,13.85004,14.56182,13.9933,12.9182,11.94456,12.18542,14.09572,13.79582,12.74846,14.9698,13.40366,11.94804,7.3277,14.28924,11.61652
"HBB",5.28946,6.36972,10.41728,9.04436,2.54074,1.88758,8.24122,0.84986,0.187,-0.07176,9.203,3.71996,7.7223,9.30818,7.44522,3.31434,9.48904,5.4081,1.07596,1.37008,6.87146,0.4143,8.68488,1.93488,2.40444,2.54984,7.11722,-2.997,-4.4373,3.92096,6.16132,2.80562,-0.94468,3.90706,4.7899,8.69886,4.70154,1.7239,5.42244,9.55282
"HBZ",12.78496,14.46222,13.64448,14.00626,13.88354,14.01308,14.22222,12.51416,12.0305,10.90034,12.0274,14.22386,12.4343,14.22228,12.40442,1.30614,13.22214,11.7205,11.30636,14.14718,12.44706,13.4227,14.59408,11.92728,11.97104,13.85004,13.60382,7.1271,12.38,11.94456,12.92442,14.09572,13.79582,12.74846,14.9698,13.40366,11.93404,13.1449,12.39844,11.61652
"COL1A1",-3.06694,-3.52498,0.67118,2.42306,-4.09706,-3.77342,1.01692,-2.04504,-5.1698,-3.70006,-2.2673,-2.71224,-0.7407,-3.92552,-2.61118,-1.43516,1.15634,3.2675,1.27536,-1.24742,-5.69394,3.3272,2.19818,-3.07352,2.59774,-0.91856,1.18582,-4.6709,-4.2635,-4.10014,-1.43738,0.49132,-1.97288,-3.13614,1.1587,-0.32164,-3.02596,-3.0886,-1.12126,-2.95578
"RUNX2",6.44846,11.24742,10.43018,10.01596,9.83444,7.73478,10.42752,7.33306,8.386,5.90404,8.7877,7.80776,9.3267,7.08278,5.66742,7.76754,10.25964,7.821,9.43786,10.11278,3.58216,9.2986,10.07848,7.77988,9.15664,7.05434,10.96122,7.4829,7.8188,7.44656,8.51582,8.25622,7.84522,5.14246,9.2885,9.55506,8.36004,6.2678,9.25014,6.15082
"NES",-0.93484,5.39132,2.28558,4.92756,5.34284,2.28288,5.40492,0.76576,2.5208,0.64274,1.7179,0.30236,3.3184,2.26608,1.53142,2.84384,4.59144,7.4066,3.06936,4.30758,1.96976,3.6145,7.03928,3.03898,2.17214,3.71774,4.10932,3.4572,2.5355,2.13546,2.58252,4.08962,1.30552,1.76546,3.3986,1.85936,3.62974,1.4636,2.49814,3.81002
"NEUROD1",6.21536,14.46222,13.64448,14.24626,13.88354,3.71758,14.22222,6.05266,13.9578,7.16584,12.0274,8.30756,13.1739,14.22228,4.27422,10.77394,15.48494,12.2037,11.30636,14.14718,6.46786,13.4227,14.59408,8.10288,7.03024,13.85004,14.56182,13.9933,11.3565,11.94456,12.92442,14.09572,2.54802,3.93266,14.9698,13.40366,5.00624,7.5767,6.38374,11.61652
"PAX6",3.45516,9.87012,11.73698,10.62226,8.87644,4.17368,13.20702,1.80916,8.5322,5.02334,3.5642,5.74916,8.288,10.34538,4.87912,7.36524,10.95154,8.1025,4.25786,4.25108,4.43696,8.5458,12.21878,3.42898,3.24214,6.79354,8.80112,7.7679,5.6611,7.88366,7.92942,7.53552,4.10642,3.64256,4.0268,9.15346,4.04394,4.6716,3.30564,10.27852
