"","91-04-A132","93-05-6301 SN2","93-05-6301 SP3","93-10-3403 SP3","94-03-1902 SN2","94-04-1903 SP1","94-09-2902 SP1","94-10-P003 SP1","94-11-P036","94-11-V046","95-01-P045","95-04-P093","95-05-G051 SN1","95-05-G051 SP1","95-06-P073","95-07-P004","95-08-P243","95-08-P248","95-08-P250","95-08-P271","95-08-P284","95-08-P358","95-08-P418","95-09-P067","95-09-P113","95-10-P864 SP1","95-11-P018 SP2","95-11-P306 SP1","95-12-A091","95-12-P310 SN1","96-02-P012 SP1","96-02-P046","96-02-P050 SP1","96-02-P067 SP3","96-02-P402 SP1","96-04-P009 SP5","96-04-P017 SP1","96-04-P029 SP1","96-04-P033 SP1","96-06-G032 SP1"
"hsa_miR_10a",49.8,481.7,162.4,168.1,166.1,136,72.8,324.4,76.1,538.2,148.4,16.9,118.9,107.4,79.1,112.4,68.6,164,53.9,503.5,79.5,244.3,139.5,119,122.5,138.6,81.4,176.2,116.5,262,84,31.7,116.3,62.3,24.8,64.6,22.6,357.4,1,42.7
"hsa_miR_200c",1,78.2,20.1,46,19.7,24.4,6.6,95.7,1,132.5,166.2,21.4,469.6,62.8,31.2,90.3,22.7,46.3,53.9,79.7,27.8,86.5,34.9,5.2,54.2,70.2,43.4,50.5,54.5,53.5,89.3,213.6,3.8,1,331.9,120.5,733.6,45.8,1,1
"ebv_miR_BART6_5p",13.8,409.1,139.2,182.4,194,116.4,48.5,456.4,101.4,554.1,194.6,11.1,28.8,75.6,1,104.5,103.5,176.2,44.8,390,73,220,119.1,87.8,131.7,177.3,73.4,185.6,75.2,270,103.4,37.3,72.7,96.6,22.3,49.5,13.1,389.7,1,56.5
"hsa_miR_206",15.6,239.6,206.4,71.1,127.7,139.9,54.3,122.1,98.9,172.2,297.7,817.7,23.9,60.3,47.1,65,88.2,229,53.9,238.6,57.5,118.9,106.3,63.9,99.8,120.3,85.4,157.3,82.7,197.8,98.1,43.8,79.7,56.8,14.9,65.9,15.6,180.1,1,53.7
"hsa_miR_1979",49.4,70.1,222,38.8,103.3,104.6,161.3,78.1,86.3,132.5,290.6,130.6,26.7,304.9,53.4,140.8,225.6,103.1,100.8,147.8,45.9,187.6,101.2,159.3,118,113.5,31.4,147.9,193.5,141.7,115.8,151.1,54.4,88.3,57.8,330.7,181.6,51.2,15.5,87.7
"hsa_miR_302b",1,62,48.6,31.6,12.7,1,54.3,51.7,1,1,311.9,234.9,1,36.1,18.3,23.9,90.4,21.9,775.6,64.6,3.3,224,45.1,8.8,81.5,193.3,77.4,28.4,1,45.5,91,248.1,5.2,6,430.7,191.5,1,61.9,1,1
"hsa_miR_96",78.9,175,152.1,92.6,54.5,83.1,189.6,113.3,57.2,1,212.4,69.4,56.3,69.2,110.2,106.1,201.6,164,76.6,178.1,27.8,191.7,182.9,54.7,225,147.7,311.7,113.3,41.4,101.6,110.5,64.3,79.7,60.9,102.5,151.9,21.4,121,24.1,22.6
"hsa_miR_651",3.1,433.3,131.4,189.6,117.3,102.7,30.9,254,43.3,514.4,208.8,4.5,15,87,1,77.6,70.7,127.5,60,359.7,52.4,191.7,124.2,85.9,92.9,102.1,75.4,147.9,75.2,221.9,69.8,46.6,61.4,70.5,7.4,45.4,24.5,314.4,1,31.7
"hsa_miR_221",355.1,62,22.7,38.8,78.9,36.1,7.6,42.9,33.1,116.6,41.7,69.4,43.2,127.8,58.5,121.9,9.7,17.8,4,94.8,76.9,86.5,22.1,43.7,38.3,24.6,29.4,50.5,78.9,81.6,34.4,13,92.4,73.2,55.9,105.5,91.3,51.2,94.1,12.5
"hsa_miR_150",226.2,53.9,149.5,35.2,16.2,77.2,298.6,16.5,35.7,1,13.3,6.5,72.8,253.9,3.2,398.2,271.4,1219.6,5.5,193.2,7.1,33.9,527.4,36.4,179.5,6.4,109.5,25.3,65.8,57.5,204.3,12.1,202,1,58.4,16.8,71,29.7,14.4,238.9
